호선,역명,엘리베이터(E/V),에스컬레이터(E/S),휠체어리프트(W/L),수평자동보도(M/W),역명_정규화,호선_정규화,자치구,월간총이용객수,EV1대당_이용객수
2호선,신촌,4,4,0,0,신촌,2호선,마포구,2258307,564576.75
2호선,이대,3,4,0,0,이대,2호선,마포구,937322,312440.6666666667
2호선,아현,4,2,0,0,아현,2호선,마포구,599281,149820.25
2호선,충정로(2),2,4,0,0,충정로,2호선,서대문구,574876,287438.0
3호선,지축,1,0,0,0,지축,3호선,덕양구,423874,423874.0
3호선,구파발,2,4,0,0,구파발,3호선,은평구,1290680,645340.0
3호선,연신내(3),1,4,0,0,연신내,3호선,은평구,2107615,2107615.0
3호선,불광(3),4,2,0,0,불광,3호선,은평구,971571,242892.75
3호선,녹번,3,2,0,0,녹번,3호선,은평구,780887,260295.66666666666
3호선,홍제,3,0,0,0,홍제,3호선,서대문구,994418,331472.6666666667
3호선,무악재,3,0,0,0,무악재,3호선,서대문구,235421,78473.66666666667
3호선,독립문,2,8,0,0,독립문,3호선,서대문구,482294,241147.0
3호선,경복궁,2,10,0,0,경복궁,3호선,종로구,1433018,716509.0
3호선,안국,2,10,0,0,안국,3호선,종로구,1533821,766910.5
3호선,종로3가(3),2,6,0,2,종로3가,3호선,종로구,667983,333991.5
3호선,을지로3가(3),2,2,0,0,을지로3가,3호선,중구,743220,371610.0
3호선,동대입구,4,4,0,0,동대입구,3호선,중구,583616,145904.0
3호선,약수(3),2,2,0,0,약수,3호선,중구,709591,354795.5
3호선,금호,3,6,0,0,금호,3호선,성동구,433710,144570.0
3호선,옥수(3),3,4,0,0,옥수,3호선,성동구,526820,175606.66666666666
3호선,압구정,4,9,0,0,압구정,3호선,강남구,1800103,450025.75
3호선,신사,4,6,0,0,신사,3호선,강남구,1514029,378507.25
3호선,잠원,3,0,0,0,잠원,3호선,서초구,403073,134357.66666666666
3호선,고속터미널(3),2,24,0,0,고속터미널,3호선,서초구,3150225,1575112.5
3호선,교대(3),2,2,1,0,교대,3호선,서초구,691552,345776.0
