"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260801","7호선","대림(구로구청)","8699","9108","20260804",""
"20260801","7호선","남구로","8451","8848","20260804",""
"20260801","7호선","가산디지털단지","14009","12765","20260804",""
"20260801","7호선","철산","14756","14696","20260804",""
"20260801","7호선","광명사거리","17412","17334","20260804",""
"20260801","7호선","천왕","7199","6910","20260804",""
"20260801","7호선","온수(성공회대입구)","5326","5045","20260804",""
"20260801","8호선","암사역사공원","4460","3974","20260804",""
"20260801","8호선","암사","11412","10586","20260804",""
"20260801","8호선","천호(풍납토성)","15176","17515","20260804",""
"20260801","8호선","강동구청","6273","6112","20260804",""
"20260801","8호선","몽촌토성(평화의문)","6402","6417","20260804",""
"20260801","8호선","잠실(송파구청)","20292","23540","20260804",""
"20260801","8호선","석촌","7136","8396","20260804",""
"20260801","8호선","송파","6823","6596","20260804",""
"20260801","8호선","가락시장","4810","5395","20260804",""
"20260801","8호선","문정","8930","8805","20260804",""
"20260801","8호선","장지","12704","11643","20260804",""
"20260801","8호선","복정","5686","4783","20260804",""
"20260801","8호선","산성","4313","4425","20260804",""
"20260801","8호선","남한산성입구(성남법원.검찰청)","7924","6945","20260804",""
"20260801","8호선","단대오거리","8147","7624","20260804",""
"20260801","8호선","신흥","4628","4801","20260804",""
"20260801","8호선","수진","4438","3865","20260804",""
"20260801","8호선","모란","4114","3516","20260804",""
"20260801","8호선","남위례","5114","4847","20260804",""
"20260801","9호선","개화","1535","1256","20260804",""
"20260801","9호선","김포공항","5838","11602","20260804",""
"20260801","9호선","공항시장","2175","2172","20260804",""
"20260801","9호선","신방화","4878","4535","20260804",""
"20260801","9호선","마곡나루(서울식물원)","13077","12586","20260804",""
"20260801","9호선","양천향교","6117","6013","20260804",""
"20260801","9호선","가양","15470","14761","20260804",""
"20260801","9호선","증미","3861","3615","20260804",""
"20260801","9호선","등촌","8470","8189","20260804",""
"20260801","9호선","염창","13071","11988","20260804",""
"20260801","9호선","신목동","2806","2365","20260804",""
"20260801","9호선","선유도","4465","4237","20260804",""
"20260801","9호선","당산","13981","13033","20260804",""
"20260801","9호선","국회의사당","5113","5157","20260804",""
"20260801","9호선","여의도","15738","15171","20260804",""
"20260801","9호선","샛강","3253","3369","20260804",""
"20260801","9호선","노량진","23569","22190","20260804",""
"20260801","9호선","노들","3543","2856","20260804",""
"20260801","9호선","흑석(중앙대입구)","6022","5762","20260804",""
"20260801","9호선","동작(현충원)","1435","1261","20260804",""
"20260801","9호선","구반포","2018","1694","20260804",""
"20260801","9호선","신반포","3389","3240","20260804",""
"20260801","9호선","고속터미널","16718","25310","20260804",""
"20260801","9호선","사평","3222","3090","20260804",""
"20260801","9호선","신논현","27679","28765","20260804",""
"20260801","9호선2~3단계","언주","6770","6677","20260804",""
"20260801","9호선2~3단계","선정릉","5535","5831","20260804",""
"20260801","9호선2~3단계","삼성중앙","3823","3719","20260804",""
"20260801","9호선2~3단계","봉은사","21248","24125","20260804",""
"20260801","9호선2~3단계","종합운동장","5536","4956","20260804",""
"20260801","9호선2~3단계","삼전","6155","5605","20260804",""
"20260801","9호선2~3단계","석촌고분","5328","5221","20260804",""
"20260801","9호선2~3단계","석촌","8345","7239","20260804",""
"20260801","9호선2~3단계","송파나루","5219","5735","20260804",""
"20260801","9호선2~3단계","한성백제","2849","2401","20260804",""
"20260801","9호선2~3단계","올림픽공원(한국체대)","17133","16494","20260804",""
"20260801","9호선2~3단계","둔촌오륜","2832","2805","20260804",""
"20260801","9호선2~3단계","중앙보훈병원","6958","6197","20260804",""
"20260801","경강선","판교","4203","3967","20260804",""
"20260801","경강선","이매","833","655","20260804",""
"20260801","경강선","삼동","1535","1361","20260804",""
"20260801","경강선","경기광주","5920","5623","20260804",""
"20260801","경강선","초월","2679","2458","20260804",""
"20260801","경강선","곤지암","2101","1923","20260804",""
"20260801","경강선","신둔도예촌","1270","1214","20260804",""
"20260801","경강선","이천","3176","3258","20260804",""
"20260801","경강선","부발","2238","1953","20260804",""
"20260801","경강선","세종대왕릉","339","377","20260804",""
"20260801","경강선","여주","3229","3225","20260804",""
"20260801","경강선","성남","1018","964","20260804",""
"20260801","경부선","서울역","11427","3874","20260804",""
"20260801","경부선","남영","6251","6606","20260804",""
"20260801","경부선","용산","59602","63797","20260804",""
"20260801","경부선","노량진","8457","7808","20260804",""
"20260801","경부선","대방","6167","6724","20260804",""
"20260801","경부선","영등포","43894","45880","20260804",""
"20260801","경부선","신도림","2770","3264","20260804",""
"20260801","경부선","신길","5504","4717","20260804",""
"20260801","경부선","구로","12682","13241","20260804",""
"20260801","경부선","가산디지털단지","5994","7314","20260804",""
"20260801","경부선","금천구청","6749","6656","20260804",""
"20260801","경부선","석수","5537","5164","20260804",""
"20260801","경부선","관악","5092","5128","20260804",""
"20260801","경부선","안양","17263","16867","20260804",""
"20260801","경부선","명학","3903","3592","20260804",""
"20260801","경부선","금정","19125","19072","20260804",""
"20260801","경부선","군포","3467","3193","20260804",""
"20260801","경부선","의왕","5414","5226","20260804",""
"20260801","경부선","성균관대","10797","10165","20260804",""
"20260801","경부선","화서","10432","10715","20260804",""
"20260801","경부선","수원","44815","49863","20260804",""
"20260801","경부선","독산","8397","7964","20260804",""
"20260801","경부선","세류","2799","2829","20260804",""
"20260801","경부선","병점","12689","12608","20260804",""
"20260801","경부선","세마","2691","2479","20260804",""
"20260801","경부선","오산대","3038","2709","20260804",""
"20260801","경부선","오산","10448","9894","20260804",""
"20260801","경부선","진위","1144","1022","20260804",""
"20260801","경부선","송탄","4927","4532","20260804",""
"20260801","경부선","서정리","8603","7193","20260804",""
"20260801","경부선","평택지제","4656","4277","20260804",""
"20260801","경부선","평택","15359","14421","20260804",""
"20260801","경부선","성환","3793","3419","20260804",""
"20260801","경부선","직산","893","833","20260804",""
"20260801","경부선","두정","6801","6625","20260804",""
"20260801","경부선","천안","7519","7425","20260804",""
"20260801","경부선","당정","3746","3555","20260804",""
"20260801","경부선","서동탄","1057","995","20260804",""
"20260801","경부선","광명","2869","2462","20260804",""
"20260801","경원선","이촌(국립중앙박물관)","2711","2333","20260804",""
"20260801","경원선","서빙고","1570","1398","20260804",""
"20260801","경원선","한남","2105","2233","20260804",""
"20260801","경원선","옥수","37","41","20260804",""
"20260801","경원선","응봉","1277","1070","20260804",""
"20260801","경원선","왕십리(성동구청)","15628","16323","20260804",""
"20260801","경원선","청량리(서울시립대입구)","19518","20608","20260804",""
"20260801","경원선","외대앞","8971","8323","20260804",""
"20260801","경원선","신이문","6257","5544","20260804",""
"20260801","경원선","석계","7293","7588","20260804",""
"20260801","경원선","광운대","6016","5650","20260804",""
"20260801","경원선","월계","4321","4021","20260804",""
"20260801","경원선","녹천","3098","2632","20260804",""
"20260801","경원선","창동","2994","3078","20260804",""
"20260801","경원선","방학","7539","7334","20260804",""
"20260801","경원선","도봉","4266","4062","20260804",""
"20260801","경원선","도봉산","7945","5449","20260804",""
"20260801","경원선","망월사","5621","5746","20260804",""
"20260801","경원선","회룡","9723","9517","20260804",""
"20260801","경원선","의정부","18246","18719","20260804",""
"20260801","경원선","가능","4987","4716","20260804",""
"20260801","경원선","녹양","3317","3140","20260804",""
"20260801","경원선","양주","5895","5666","20260804",""
"20260801","경원선","덕계","4903","4401","20260804",""
"20260801","경원선","덕정","4692","4197","20260804",""
"20260801","경원선","지행","5605","5565","20260804",""
"20260801","경원선","동두천중앙","2448","2486","20260804",""
"20260801","경원선","보산","1554","1509","20260804",""
"20260801","경원선","동두천","1480","1437","20260804",""
"20260801","경원선","소요산","3591","3594","20260804",""
"20260801","경원선","청산","207","149","20260804",""
"20260801","경원선","전곡","1570","1382","20260804",""
"20260801","경원선","연천","1697","1652","20260804",""
"20260801","경의선","서울역","1266","1233","20260804",""
"20260801","경의선","신촌","290","365","20260804",""
"20260801","경의선","효창공원앞","1951","2362","20260804",""
"20260801","경의선","공덕","3543","2458","20260804",""
"20260801","경의선","서강대","1788","1788","20260804",""
"20260801","경의선","홍대입구","2646","3274","20260804",""
"20260801","경의선","가좌","4051","3916","20260804",""
"20260801","경의선","디지털미디어시티","2088","1920","20260804",""
"20260801","경의선","수색","1908","1827","20260804",""
"20260801","경의선","한국항공대","1046","989","20260804",""
"20260801","경의선","강매","1816","1672","20260804",""
"20260801","경의선","행신","5076","5181","20260804",""
"20260801","경의선","능곡","3074","3050","20260804",""
"20260801","경의선","곡산","357","384","20260804",""
"20260801","경의선","백마","4850","4498","20260804",""
"20260801","경의선","풍산","5099","4873","20260804",""
"20260801","경의선","일산","7085","6762","20260804",""
"20260801","경의선","탄현","5560","5250","20260804",""
"20260801","경의선","야당","6290","6499","20260804",""
"20260801","경의선","운정","6135","5845","20260804",""
"20260801","경의선","금릉","3680","3578","20260804",""
